Id,SalePrice,OverallQual,GrLivArea,GarageCars,TotRmsAbvGrd,YearBuilt,KitchenQual,ExterQual
187,173000,7,1217,2,6,1990,2,3
188,135000,5,1656,1,8,1916,3,3
189,153337,5,1224,2,6,1979,3,3
190,286000,8,1593,2,5,2001,0,2
191,315000,8,2727,2,10,1932,2,2
192,184000,7,1479,2,7,1972,2,3
194,130000,7,1709,2,7,2004,2,2
195,127000,5,864,1,5,1972,3,3
196,148500,6,1456,2,7,1976,3,3
197,311872,7,1726,3,8,2007,0,0
198,235000,8,3112,2,8,1918,2,2
200,274900,8,1713,3,7,2004,0,2
201,140000,4,1121,2,5,2003,3,3
202,171500,6,1279,2,6,1977,3,3
204,149000,6,848,2,3,2004,2,2
206,180500,7,1442,2,5,1990,3,3
207,143900,5,1696,1,8,1962,3,3
208,141000,4,1100,1,6,1960,3,3
209,277000,7,2062,2,7,1988,3,2
210,145000,6,1092,2,6,1964,3,3
211,98000,5,864,0,5,1925,3,3
213,252678,7,1852,2,7,2009,2,3
214,156000,5,990,2,5,1995,3,3
215,161750,6,1392,1,6,1977,3,3
217,210000,7,1436,2,8,2004,2,2
218,107000,4,1328,1,8,1925,3,3
219,311500,7,1954,2,8,1939,2,2
220,167240,7,1248,2,5,2005,2,2
221,204900,7,1498,2,5,2006,2,2
222,200000,6,2267,2,8,2002,2,2
223,179900,6,1552,2,6,1975,3,3
226,112000,5,1302,1,6,1971,3,3
227,290000,7,2520,3,9,1995,2,2
229,125000,5,912,1,5,1967,3,3
230,192500,7,1555,2,7,2005,2,2
231,148000,6,1194,1,6,1959,3,3
233,94500,6,987,1,5,1972,3,3
235,216500,6,1960,2,8,2002,2,2
236,89500,6,987,1,5,1971,3,3
237,185500,7,1414,2,6,2004,2,2
238,194500,7,1744,2,7,1993,2,2
239,318000,8,1694,3,7,2007,2,0
240,113000,6,1487,1,7,1945,3,3
241,262500,8,1566,2,7,2008,2,2
243,79000,5,1440,1,6,1900,3,3
244,120000,6,1217,1,6,1980,3,3
245,205000,7,2110,2,8,1994,2,2
246,241500,7,1872,2,6,1988,3,3
247,137000,6,1928,1,9,1910,1,3
248,140000,6,1375,2,5,1954,3,3
249,180000,7,1668,2,8,2003,2,2
250,277000,6,2144,2,7,1958,2,2
251,76500,3,1306,0,6,1940,1,3
252,235000,8,1625,2,5,2006,2,2
253,173000,6,1640,2,6,2004,2,2
256,230000,7,2291,2,8,1999,2,2
257,207500,6,1728,2,7,2003,2,2
258,220000,7,1604,2,8,2006,2,2
259,231500,7,1792,2,7,2001,2,2
260,97000,5,882,1,4,1956,3,3
262,276000,8,2574,3,10,2007,0,2
263,151000,6,1212,2,6,1977,3,3
264,130000,5,1316,2,6,1929,3,3
265,73000,5,764,2,4,1925,3,3
266,175500,6,1422,2,7,1981,2,3
267,185000,6,1511,2,8,1997,3,3
268,179500,5,2192,1,8,1939,2,3
270,148000,6,1113,1,6,1976,3,3
272,241500,7,1363,2,5,1954,3,3
273,290000,8,2270,3,9,1999,2,2
274,139000,6,1632,1,6,1958,3,3
275,124500,5,816,1,5,1982,3,3
276,205000,7,1548,2,5,1925,0,2
277,201000,7,1560,2,7,2003,2,2
278,141000,4,864,2,4,1951,3,3
281,228500,7,1982,2,7,1989,2,2
282,185000,6,1262,2,5,2006,2,2
283,207500,7,1314,2,6,2007,2,2
284,244600,8,1468,3,6,2008,2,2
285,179200,6,1575,2,5,1992,2,2
286,164700,7,1250,2,5,2006,2,2
287,159000,6,1734,2,7,1962,2,3
288,88000,4,858,0,5,1971,3,3
289,122000,5,900,1,5,1967,3,3
290,153575,6,1396,1,7,1915,3,3
291,233230,8,1919,2,8,2006,2,2
292,135900,5,1716,0,9,1912,1,3
293,131000,5,1716,1,8,1949,3,3
294,235000,7,2263,2,9,1977,2,3
295,167000,6,1644,2,7,1953,3,3
297,152000,5,1558,1,6,1950,3,3
298,239000,7,1950,2,7,1997,2,2
301,157000,5,1336,1,5,1953,3,3
302,267000,8,2452,2,9,1998,2,2
303,205000,7,1541,3,6,2001,2,2
305,295000,7,3493,3,10,1880,2,3
306,305900,8,2000,3,8,2004,2,2
307,225000,7,2243,3,8,1990,2,2
308,89500,6,1406,0,6,1920,1,3
310,360000,9,1944,3,8,2003,0,2
312,132000,6,972,1,5,1948,3,3
314,375000,7,2036,2,8,1965,3,3
315,178000,7,1641,2,6,1925,0,3
317,260000,7,2353,2,10,1980,0,2
319,260000,7,2646,3,9,1993,2,2
321,342643,9,2596,3,9,2006,2,3
322,354000,8,2468,3,10,2004,2,2
324,126175,3,1163,1,6,1955,3,3
325,242000,7,2978,2,11,1967,2,2
326,87000,5,803,2,5,1941,3,3
328,145250,6,1383,1,7,1960,3,3
329,214500,6,2134,2,10,1916,2,3
330,78000,5,1192,1,6,1920,3,3
332,139000,5,1056,1,6,1958,3,3
333,284000,8,1629,3,7,2003,2,2
335,192000,6,1638,2,7,1998,3,3
336,228950,5,1786,2,7,1965,3,3
337,377426,9,1922,3,8,2005,2,2
338,214000,7,1536,2,7,2002,2,2
339,202500,7,1621,2,8,1984,2,2
340,155000,6,1215,1,6,1958,3,3
341,202900,8,1908,2,9,2002,2,2
342,82000,4,841,1,4,1950,3,1
344,266000,9,1684,2,6,2005,0,0
345,85000,5,1112,1,4,1976,3,3
346,140200,6,1577,1,6,1939,1,3
347,151500,6,958,1,5,1960,3,3
349,154000,7,1626,2,6,2003,2,2
350,437154,9,2728,3,10,2005,0,0
351,318061,9,1869,2,6,2007,0,0
352,190000,7,1453,2,6,1986,2,3
353,95000,5,1111,1,5,1941,3,3
355,140000,6,1595,1,6,1940,3,3
356,177500,6,1200,2,6,1995,2,2
357,173000,6,1167,2,6,1992,2,3
358,134000,5,1142,2,6,1976,3,3
359,130000,5,1352,1,6,1958,2,3
360,280000,8,1924,2,7,1998,2,2
364,118000,6,987,1,5,1972,2,3
366,147000,5,1344,1,6,1920,3,3
367,159000,6,1394,2,6,1963,3,3
368,165000,6,1431,1,6,1962,3,3
369,132000,5,1268,1,7,1954,3,3
370,162000,5,1287,2,7,1959,2,3
371,172400,6,1664,2,7,2000,3,3
372,134432,4,1588,2,7,1959,3,3
373,125000,6,752,1,4,1984,3,3
374,123000,5,1319,1,5,1953,3,3
375,219500,7,1928,2,8,2003,2,2
376,61000,1,904,0,4,1922,1,1
378,340000,8,2466,2,8,2004,2,2
379,394432,9,1856,3,8,2010,0,2
380,179000,6,1800,2,7,2000,3,3
381,127000,5,1691,1,6,1924,2,3
383,213500,7,1797,2,8,2006,2,2
384,76000,6,784,2,5,1928,3,3
385,240000,6,1953,2,9,1992,2,2
386,192000,8,1269,2,6,2004,2,2
387,81000,5,1184,0,8,1910,3,3
388,125000,6,1125,1,6,1976,3,3
389,191000,7,1479,2,6,1999,2,2
390,426000,10,2332,3,9,2007,0,0
391,119000,5,1367,1,7,1900,3,3
392,215000,6,1961,2,7,2001,2,3
393,106500,5,882,1,5,1959,3,3
395,109000,5,1034,1,5,1940,3,3
396,129000,5,1144,1,6,1956,3,3
397,123000,5,894,2,6,1972,3,3
398,169500,5,1812,1,8,1962,3,3
399,67000,5,1077,1,6,1920,3,3
400,241000,7,1550,2,7,2006,2,2
401,245500,8,1288,2,4,1996,0,2
403,108000,5,672,1,4,1940,3,3
404,258000,8,2263,2,10,1998,2,2
405,168000,6,1572,2,7,1995,3,3
406,150000,4,1620,2,8,1976,3,3
407,115000,6,1639,1,6,1936,3,3
408,177000,6,1680,1,8,1915,3,3
409,280000,7,2172,3,9,2006,2,2
410,339750,8,2078,3,8,2007,0,2
411,60000,5,1276,1,5,1958,3,3
412,145000,5,1056,2,5,1955,3,3
414,115000,5,1028,2,5,1927,3,3
415,228000,7,2097,3,9,1993,2,2
416,181134,7,1340,2,6,2007,2,2
417,149500,6,1400,2,6,1978,3,3
418,239000,6,2624,3,10,1918,3,3
419,126000,5,1134,1,7,1940,3,3
420,142000,5,1056,1,6,1968,3,3
422,215000,6,1602,2,8,1977,2,2
424,315000,8,2630,3,8,1998,2,2
425,139000,6,1196,1,6,1956,3,3
426,135000,7,1389,1,6,1946,3,3
428,109008,4,907,1,5,1957,3,3
429,195400,7,1208,2,6,2007,2,2
430,175000,6,1412,2,6,1988,2,3
431,85400,6,987,1,4,1971,3,3
432,79900,6,1198,0,7,1920,3,3
434,181000,6,1604,2,7,1997,3,3
436,212000,7,1661,2,6,1996,2,2
438,119000,6,904,1,4,1926,3,2
440,110000,6,1196,2,7,1920,2,3
442,118000,4,1440,0,8,1955,1,3
445,210000,7,1908,2,8,1994,2,2
446,127500,6,1689,2,7,1956,3,3
448,199900,7,1886,2,10,1998,2,2
449,119500,6,1376,1,7,1937,3,3
450,120000,3,1183,1,6,1948,3,3
451,110000,6,813,1,5,1930,2,3
452,280000,7,1533,2,5,1975,2,3
453,204000,6,1756,2,7,1996,3,2
454,210000,8,1590,2,6,2008,2,2
455,188000,5,1728,2,8,1976,3,3
456,175500,7,1242,2,6,1973,3,3
457,98000,5,1344,3,7,1916,3,3
458,256000,4,1663,2,6,1954,2,3
461,263435,8,1935,2,8,2009,3,2
463,62383,5,864,1,5,1965,3,3
464,188700,6,1660,1,6,1934,3,3
466,178740,7,1414,2,6,2004,2,2
467,167000,7,1277,2,5,1970,3,3
468,146500,5,1644,1,7,1942,2,3
469,250000,8,1634,3,7,2006,2,2
470,187000,6,1710,2,7,1993,2,2
471,212000,8,1502,2,4,1985,2,2
472,190000,7,1969,2,8,1977,3,3
473,148000,6,1072,2,5,2005,3,3
474,440000,8,1976,3,7,2006,2,2
476,132500,5,970,2,5,1963,3,3
477,208900,6,1493,2,7,1997,2,3
478,380000,9,2643,3,9,2006,0,0
479,297000,8,1718,3,7,2007,2,2
481,326000,9,1850,3,8,2004,2,2
482,374000,9,1792,3,6,2003,0,2
484,164000,6,1216,2,5,1998,3,3
485,132500,5,999,1,6,1962,2,3
486,147000,5,1113,1,5,1950,2,2
488,175000,5,1484,2,7,1971,3,3
489,160000,5,2414,2,10,1900,3,3
490,86000,4,630,1,3,1970,2,3
491,115000,5,1304,1,4,1976,3,3
493,172785,6,1456,2,8,2006,3,2
494,155000,5,1269,1,6,1960,3,3
495,91300,5,886,1,4,1938,3,3
496,34900,4,720,0,4,1920,3,3
497,430000,8,3228,2,10,1992,2,2
498,184000,7,1820,1,8,1925,3,3
499,130000,5,899,1,5,1967,2,3
500,120000,5,912,1,5,1958,3,3
501,113000,6,1218,1,7,1973,3,3
502,226700,7,1768,2,7,2005,2,2
503,140000,5,1214,2,6,1965,3,3
504,289000,7,1801,2,6,1959,3,3
505,147000,6,1322,2,6,1974,3,3
506,124500,5,1960,2,10,1952,3,3
507,215000,8,1911,2,8,1993,2,2
508,208300,6,1218,2,4,2009,2,2
509,161000,7,1378,2,7,1928,2,3
510,124500,5,1041,1,6,1959,3,3
511,164900,5,1363,1,6,1951,3,2
513,129900,5,864,2,5,1958,3,3
515,96500,5,789,1,5,1926,3,3
516,402861,10,2020,3,9,2009,0,0
517,158000,6,2119,2,7,1972,3,3
519,211000,6,1796,2,7,1998,3,3
522,150000,6,1244,1,6,1957,3,3
523,159000,6,1664,2,7,1947,3,3
524,184750,10,4676,3,11,2007,0,0
525,315750,7,2398,3,8,1996,2,2
526,176000,7,1266,2,6,2005,2,2
528,446261,9,2713,3,11,2008,0,0
529,86000,4,605,0,5,1920,3,3
531,175000,6,1509,2,5,1988,2,2
532,128000,6,1362,2,6,1920,3,3
533,107500,5,827,1,5,1955,3,3
534,39300,1,334,0,2,1946,1,1
535,178000,8,1414,2,6,2004,2,2
537,188000,7,1724,2,8,1998,2,3
538,111250,4,864,2,5,1972,3,3
539,158000,5,1159,1,7,1968,3,3
540,272000,8,1601,2,6,2001,2,2
541,315000,9,1838,3,8,2006,0,0
542,248000,8,2285,3,8,2000,2,2
544,133000,7,767,1,4,1998,3,3
545,179665,7,1496,2,7,2006,2,2
546,229000,7,2183,3,9,1988,2,2
547,210000,6,1635,2,6,1923,3,3
548,129500,5,768,2,5,1970,3,3
551,140000,6,1069,2,4,1977,3,3
552,112500,5,928,1,5,1957,3,3
553,255500,8,1717,3,7,2006,2,2
554,108000,4,1126,2,5,1949,2,3
556,113000,5,1048,1,5,1922,3,3
557,141000,5,1092,1,6,1957,3,3
560,234000,7,1557,2,7,2003,2,2
561,121500,5,1392,2,5,1957,3,3
562,170000,5,1389,2,6,1974,3,3
563,108000,5,996,0,6,1940,3,3
565,268000,7,2295,2,9,1992,2,2
566,128000,6,1647,1,6,1915,1,3
567,325000,9,2504,3,11,2005,0,2
570,135960,5,943,2,4,1979,3,3
571,142600,5,1728,2,10,1965,3,3
572,120000,6,864,1,4,1959,2,3
574,170000,7,1430,2,8,2000,3,3
577,145000,7,1477,1,6,1928,3,3
578,164500,5,1320,2,6,1966,3,3
582,253293,8,2042,3,8,2008,0,0
583,118500,6,816,0,5,1990,3,3
584,325000,10,2775,2,9,1893,2,0
585,133000,4,1573,1,6,1935,2,3
586,369900,8,2028,3,7,2005,2,2
587,130000,6,838,1,5,1918,1,3
588,137000,5,860,2,4,1982,3,3
589,143000,5,1473,1,5,1968,0,3
592,451950,10,2296,3,10,2008,0,0
593,138000,5,816,2,4,1982,3,3
594,140000,6,848,2,4,2003,2,2
595,110000,5,924,1,5,1975,3,3
596,319000,8,1826,3,7,2005,2,2
597,114504,6,1368,1,7,1910,3,3
599,217500,5,1647,2,7,1977,2,3
600,151000,6,1556,2,6,1980,3,3
601,275000,8,1904,2,8,2005,0,2
603,220000,8,1915,2,8,1992,2,2
604,151000,7,1200,2,4,2004,2,2
605,221000,7,1494,2,6,2002,2,2
606,205000,7,1986,2,7,1965,3,3
607,152000,5,1040,2,6,1996,2,3
608,225000,5,2008,1,8,1948,0,3
609,359100,8,3194,2,10,1934,3,3
612,148000,6,1032,2,6,1978,3,3
613,261500,8,1872,2,7,2001,0,2
615,75500,4,630,0,3,1972,3,3
617,183200,6,1509,2,7,2002,2,2
618,105500,6,832,2,4,1954,2,3
619,314813,9,1828,3,9,2007,2,0
620,305000,8,2262,3,10,2003,2,2
623,135000,5,980,2,6,1977,3,3
624,168500,6,1512,2,4,2000,2,2
625,165150,6,1790,2,8,1972,3,3
626,160000,6,1116,2,5,1962,3,3
627,139900,5,1422,1,6,1960,3,3
628,153000,6,1520,1,7,1955,3,3
629,135000,5,2080,2,9,1969,1,3
630,168500,6,1350,2,6,1964,3,3
631,124000,5,1750,1,8,1880,0,3
632,209500,8,1554,2,6,2006,2,2
634,139400,5,1056,1,6,1954,3,3
635,144000,6,1056,2,4,1980,3,3
636,200000,6,3395,0,14,1914,1,1
637,60000,2,800,0,4,1936,1,1
638,93000,5,1387,1,7,1954,2,3
639,85000,5,796,0,4,1910,3,3
640,264561,8,1567,3,7,2006,0,2
641,274000,8,1518,2,6,2003,0,0
642,226000,7,1929,2,7,2001,2,2
644,152000,5,1620,2,7,1969,3,3
646,143250,6,981,2,5,1971,3,3
647,98300,5,1048,2,7,1950,3,3
648,155000,6,1094,2,5,1953,3,3
649,155000,6,1839,2,7,1966,3,3
651,205950,7,1665,2,7,2007,2,2
653,191000,7,1716,2,7,1996,2,2
654,135000,6,1469,1,7,1906,3,3
655,350000,8,2113,3,7,1995,2,2
658,149000,7,1502,1,6,1931,3,3
659,97500,6,1458,1,6,1948,3,3
660,167000,5,1486,2,7,1964,3,3
661,197900,7,1935,2,7,1976,3,3
662,402000,8,2448,3,8,1994,2,2
664,137500,4,1181,2,6,1972,3,3
665,423000,8,2097,3,8,2005,0,2
669,168000,5,1437,2,6,1956,3,3
670,137500,4,1180,1,5,1922,1,3
671,173500,6,1476,2,7,2005,2,2
672,103600,6,1369,1,6,1925,3,3
673,165000,6,1208,2,6,1977,3,2
674,257500,6,1839,2,7,1957,2,3
675,140000,6,1136,1,5,1965,3,3
676,148500,6,1441,2,7,1978,3,3
677,87000,4,1774,3,8,1900,3,3
678,109500,5,792,1,5,1924,2,2
681,143000,6,923,1,5,1980,3,3
682,159434,5,1520,1,6,1932,3,3
683,173000,6,1291,2,6,1996,2,3
684,285000,9,1668,3,7,2002,2,2
685,221000,7,1839,2,7,1998,3,2
686,207500,7,2090,2,6,1984,2,2
687,227875,7,1761,2,7,2007,2,2
690,194700,6,1362,2,6,2005,2,2
691,141000,6,848,2,3,2004,2,2
692,755000,10,4316,3,10,1994,0,0
693,335000,7,2519,2,9,1989,2,2
694,108480,5,1073,1,4,1921,3,3
695,141500,5,1539,2,5,1936,3,3
697,89000,5,616,1,4,1921,3,3
698,123500,5,1148,1,6,1952,3,3
699,138500,5,894,1,5,1965,3,3
700,196000,7,1391,2,5,2004,2,2
701,312500,8,1800,3,7,2002,2,2
702,140000,7,1164,2,6,1969,3,3
703,361919,8,2576,3,10,2006,0,0
704,140000,5,1812,2,8,1900,2,3
706,55000,4,1092,0,7,1930,1,1
707,302000,7,1824,2,5,1971,2,3
708,254000,8,1324,2,6,2006,2,2
709,179540,7,1456,2,8,2007,2,2
710,109900,5,904,1,6,1966,3,3
711,52000,3,729,0,5,1935,3,2
712,102776,4,1178,1,7,1900,3,3
715,130500,6,1479,2,6,1976,2,2
716,165000,6,1350,2,7,1974,3,3
717,159500,7,2554,2,8,1890,3,3
718,157000,5,1178,2,5,1973,2,3
719,341000,7,2418,3,9,1993,2,2
720,128500,5,971,1,5,1969,3,3
721,275000,8,1742,2,5,1985,2,2
722,143000,6,848,2,3,2004,2,2
724,135000,4,1470,1,7,1954,3,3
726,120500,4,864,2,5,1970,2,3
727,222000,6,1680,2,5,1988,2,2
728,194500,7,1232,2,6,2007,2,2
730,103000,4,1208,2,5,1925,3,3
731,236500,8,1616,2,5,1995,2,2
732,187500,7,1146,2,6,2003,2,2
733,222500,7,2031,2,8,1998,2,2
734,131400,5,1144,1,6,1961,3,3
735,108000,5,948,1,6,1968,3,3
736,163000,7,1768,2,6,1914,3,3
737,93500,3,1040,2,6,1950,3,3
739,179000,5,1200,0,5,1987,3,3
740,190000,7,1728,2,7,2004,2,2
742,142000,6,912,1,5,1961,2,3
745,180000,8,1337,2,5,1993,2,2
746,299800,8,2715,2,11,1976,2,0
747,236000,7,2256,2,8,2000,2,2
748,265979,7,2640,4,8,1880,2,2
749,260400,7,1720,2,7,1996,2,2
750,98000,4,1529,1,9,1945,3,3
751,96500,4,1140,0,7,1910,3,3
752,162000,7,1320,2,6,2003,2,2
753,217000,6,1494,2,6,1997,2,3
754,275500,8,2098,3,8,2005,0,2
755,156000,6,1026,2,5,1969,2,3
756,172500,6,1471,2,6,1999,3,3
757,212000,8,1768,2,7,2007,2,2
758,158900,6,1386,2,6,1978,3,3
759,179400,7,1501,2,6,1999,3,3
760,290000,8,2531,3,9,1995,2,2
761,127500,6,864,1,5,1959,3,3
762,100000,5,1301,2,5,1924,1,3
763,215200,7,1547,2,7,2009,2,3
764,337000,8,2365,3,8,1999,2,2
765,270000,8,1494,2,6,1995,0,2
766,264132,9,1506,2,6,2008,0,2
767,196500,7,1714,2,7,1988,3,3
768,160000,6,1750,1,7,1940,3,3
771,134900,5,858,2,5,1982,3,3
772,102000,4,1220,2,6,1951,3,3
773,107000,6,1117,2,6,1976,3,3
774,114500,5,912,1,5,1958,3,3
775,395000,8,1973,3,9,2006,2,2
776,162000,6,1204,2,5,1998,3,3
777,221500,7,1614,3,7,2005,2,2
778,142500,5,894,2,5,1974,3,3
779,144000,5,2020,2,10,1977,3,3
780,135000,6,1004,2,4,1977,3,3
781,176000,7,1253,2,6,1995,3,3
783,187100,7,1430,2,6,2001,2,2
784,165500,5,1110,2,4,1978,2,3
785,128000,6,1484,0,9,1914,3,3
786,161500,6,1342,2,7,1967,3,3
787,139000,5,1652,1,7,1915,3,3
790,187500,6,2087,2,9,1966,2,3
791,160200,7,1145,2,5,2005,2,2
792,146800,6,1062,2,5,1976,3,3
793,269790,7,2013,2,8,1996,3,2
794,225000,8,1496,2,7,2007,2,2
795,194500,7,1895,2,7,1994,2,2
797,143500,6,1285,2,7,1977,3,3
798,110000,5,773,1,4,1953,3,3
799,485000,9,3140,3,11,2008,0,0
800,175000,5,1768,1,7,1937,2,3
801,200000,6,1688,2,8,1997,2,3
802,109900,4,1196,2,5,1916,3,3
803,189000,7,1456,2,7,2005,2,2
804,582933,9,2822,3,12,2008,0,0
805,118000,5,1128,1,5,1954,3,3
806,227680,7,1428,2,6,2008,0,2
807,135500,5,980,1,6,1967,3,3
808,223500,5,1576,2,6,1923,2,3
809,159950,5,1086,2,6,1966,3,3
810,106000,5,2138,2,11,1898,3,3
811,181000,6,1309,2,5,1974,2,3
813,55993,5,1044,2,4,1952,1,1
814,157900,6,1442,1,7,1958,3,3
815,116000,5,1250,1,7,1918,1,3
816,224900,7,1661,2,6,1998,2,3
817,137000,5,1008,1,4,1954,3,3
818,271000,8,1689,3,7,2002,2,2
819,155000,6,1052,2,6,1971,3,3
820,224000,7,1358,2,6,2009,2,2
821,183000,7,1640,2,6,2003,2,2
822,93000,4,936,2,4,1953,3,1
825,232600,8,1489,2,7,2006,2,2
828,189000,7,1434,2,6,2001,2,2
829,185000,5,2126,2,7,1967,3,3
830,147400,7,1223,2,4,2005,2,2
831,166000,6,1392,2,6,1957,3,3
832,151000,7,1200,2,4,2005,2,3
833,237000,7,1829,2,7,2003,2,2
834,167000,6,1516,2,6,1964,3,3
835,139950,5,1144,2,6,1961,3,3
836,128000,4,1067,2,4,1950,2,3
837,153500,5,1559,2,5,1948,3,3
838,100000,6,987,1,5,1973,3,3
840,130500,5,1200,1,6,1946,3,3
841,140000,6,1482,1,7,1925,1,3
842,157500,5,1539,2,8,1904,2,3
