Id,OverallQual,GrLivArea,GarageCars,TotRmsAbvGrd,YearBuilt,KitchenQual,ExterQual
382,7,1301,2,5,2006,2,2
394,4,788,0,4,1941,3,3
402,7,1310,2,6,2005,2,2
413,7,1478,2,7,2009,2,0
421,7,1344,4,8,1997,3,3
423,5,988,2,4,1954,3,3
427,7,1644,2,5,1989,2,2
433,5,1365,2,6,1971,3,3
435,4,630,0,3,1972,3,3
437,6,1118,2,6,1920,3,3
439,5,694,1,4,1913,2,3
441,10,2402,3,10,2008,0,0
443,5,1573,2,8,1930,3,3
444,7,1258,3,6,2006,2,2
447,6,1888,2,6,1966,2,2
459,8,1666,1,7,1925,2,3
460,5,1203,1,5,1950,2,3
462,7,1135,2,6,1936,2,2
465,5,1040,0,5,1978,3,3
475,8,1652,2,6,2000,0,2
480,4,1131,2,7,1937,3,3
483,7,1826,1,7,1915,0,2
487,5,1073,2,6,1965,3,3
492,6,1578,1,5,1941,1,3
512,7,1368,2,6,2005,2,2
514,6,1080,2,5,1983,3,3
518,7,2344,3,7,1996,2,2
520,7,2080,1,9,1926,2,2
521,4,1294,0,7,1900,3,3
527,5,928,1,4,1956,3,3
530,6,2515,2,9,1957,3,2
536,5,1347,0,5,1910,3,3
543,7,1680,2,7,1998,2,2
549,5,825,2,4,1955,3,3
550,7,2094,2,8,2003,2,2
555,7,2046,3,8,2003,2,2
558,4,1336,1,7,1920,3,3
559,7,1446,2,6,1996,3,3
564,6,1674,2,8,1918,3,3
568,7,1535,2,7,2004,2,2
569,8,2132,2,5,1983,2,2
573,7,1692,2,6,2009,2,3
575,5,1109,1,5,1971,3,3
576,5,1216,1,6,1947,3,3
579,7,1392,2,5,2007,2,2
580,5,1795,1,7,1954,3,3
581,6,1429,2,7,1960,2,3
590,5,935,1,4,1930,3,3
591,7,1582,2,6,2004,2,2
598,7,1402,3,7,2006,2,2
602,6,1375,1,6,1937,2,3
610,4,1029,1,5,1961,3,3
611,9,2153,3,8,2000,0,2
614,5,1120,0,6,2007,3,3
616,6,1054,2,6,1963,2,3
621,3,864,0,5,1914,3,3
622,6,2614,2,9,1974,3,3
633,7,1411,2,6,1977,3,3
643,8,2704,2,9,1972,0,2
645,9,1766,3,7,2009,0,0
650,4,630,0,3,1970,3,3
652,4,1510,1,7,1940,3,3
656,6,1092,1,6,1971,3,3
657,5,1053,1,5,1959,2,2
663,6,1392,2,5,1968,3,3
666,8,1936,2,7,2000,2,2
667,6,2380,2,7,1965,3,3
668,6,1679,2,7,1994,2,3
679,8,2046,3,7,2008,2,2
680,5,988,2,5,1961,3,3
688,7,1102,2,4,2004,2,2
689,8,1419,2,7,2007,2,2
696,6,1137,2,5,1987,2,3
705,7,1484,2,7,2004,2,2
713,8,1228,2,5,1988,2,2
714,4,960,2,6,1970,3,3
723,4,864,2,5,1970,3,3
725,9,1698,3,8,2007,0,0
729,5,1776,3,9,1958,3,3
738,8,1801,3,8,2005,2,2
741,5,1432,2,7,1910,3,3
743,7,1349,2,6,2000,3,3
744,5,1464,2,6,1963,3,3
769,7,1836,2,8,2004,2,2
770,8,3279,3,12,2003,0,0
782,6,1603,2,7,1992,2,2
788,7,2084,2,8,2004,2,2
789,4,901,1,4,1954,3,3
796,6,1564,2,7,1980,3,3
812,6,848,2,4,2004,2,2
823,7,1733,2,7,2003,2,2
824,6,1489,1,7,1940,3,3
826,10,2084,3,7,2007,0,0
827,5,784,0,5,1924,2,3
839,5,1099,1,6,1995,2,3
847,7,1775,2,7,1993,2,2
858,6,1481,2,6,1994,3,3
859,7,1370,2,6,1976,3,3
867,8,1646,3,6,2006,2,2
872,6,1682,2,7,1998,2,3
880,5,864,1,6,1978,3,2
892,6,1683,2,7,1978,3,3
897,4,951,1,6,1936,3,3
898,5,2240,2,12,1979,3,3
900,5,1236,1,6,1961,3,3
908,7,2057,1,6,1936,2,2
922,5,2200,0,9,1900,3,3
928,7,1978,2,9,1968,3,3
931,8,1466,3,7,2007,2,2
949,7,1776,2,7,2002,2,2
959,7,1337,2,6,2003,2,2
963,6,1548,2,7,1976,2,3
964,9,1800,2,7,2007,0,2
966,6,1484,2,8,2005,2,2
967,5,1308,1,7,1940,3,2
978,7,1241,2,4,2006,2,2
980,5,1121,2,5,1963,3,3
987,6,1635,1,5,1910,2,3
990,7,1576,2,6,2006,2,2
992,8,1742,2,8,1882,2,2
1001,3,944,2,4,1952,1,3
1003,8,1574,3,7,2006,2,2
1004,5,1680,2,8,1976,3,3
1014,5,1022,1,4,1910,3,3
1015,6,1082,1,5,1948,3,3
1018,8,1360,2,4,1984,2,2
1020,7,1506,2,6,2005,2,2
1022,7,1220,2,6,2006,2,2
1026,5,882,2,5,1972,3,3
1030,6,1218,1,7,1972,3,3
1031,5,1928,0,10,1916,3,3
1040,4,630,1,3,1970,3,3
1043,6,1306,2,5,2005,2,2
1048,5,990,2,5,1994,3,3
1050,4,930,1,6,1946,2,3
1056,6,1523,2,7,1976,3,3
1058,7,1850,2,7,1994,2,2
1071,5,1048,1,6,1956,3,3
1074,6,1426,2,6,1977,3,3
1075,7,1240,3,5,2006,2,2
1076,7,1740,1,6,1940,3,3
1079,6,848,2,3,2004,2,2
1082,5,1040,1,5,1963,3,3
1084,6,1251,1,6,1964,3,3
1085,6,1498,2,6,1995,3,3
1091,3,1040,2,6,1950,3,3
1097,6,1355,0,7,1914,2,3
1098,8,1088,2,5,1986,2,2
1103,5,1134,1,6,1960,3,3
1106,8,2622,2,9,1994,2,2
1109,6,1690,2,7,2000,3,3
1110,8,1836,3,7,2004,2,2
1115,5,833,1,4,1954,2,3
1123,4,960,1,5,1956,3,3
1125,7,1482,2,7,1992,2,3
1130,5,936,2,4,1980,3,3
1160,6,1876,2,8,1974,2,2
1164,4,1258,2,6,1969,3,3
1167,8,1694,3,7,2008,2,2
1174,5,3086,0,12,1946,0,3
1183,10,4476,3,10,1996,0,2
1193,5,1472,1,6,1925,2,3
1201,4,864,1,5,1970,3,3
1212,8,1752,2,8,1988,3,2
1215,5,999,1,6,1962,3,3
1218,8,1314,2,6,2009,2,2
1224,5,2136,2,7,1951,3,3
1226,6,1138,1,6,1958,3,3
1229,9,1702,3,7,2008,0,0
1234,5,1188,2,6,1959,3,3
1238,7,1948,2,8,2004,2,2
1245,8,1517,2,7,1929,2,3
1258,5,864,0,4,1922,3,3
1261,6,1675,2,7,1999,3,3
1266,7,1452,2,6,1999,2,2
1274,6,1357,1,5,1959,0,3
1275,5,1250,2,8,1910,3,3
1283,5,1040,2,5,1977,2,3
1286,6,1412,1,6,1939,3,3
1291,5,1152,2,6,1964,3,3
1299,10,5642,2,12,2008,0,0
1301,7,1983,2,9,1999,2,2
1302,6,1494,1,7,1942,2,3
1308,5,990,2,5,1994,3,3
1318,7,1352,2,5,2006,2,2
1319,8,1787,3,7,2001,2,2
1321,6,1478,2,6,1957,3,3
1323,7,1923,2,8,1992,2,2
1324,4,708,0,5,1940,1,1
1336,6,1334,2,6,1977,3,3
1339,7,1861,2,8,2002,2,2
1340,5,864,1,5,1972,3,3
1341,4,872,4,5,1971,3,3
1349,7,1494,2,5,1998,2,2
1351,5,2634,4,12,1969,3,3
1352,6,1716,2,8,1962,3,3
1356,7,1920,2,8,1968,2,3
1359,6,1573,2,5,2000,2,2
1360,9,1980,3,8,2004,0,2
1387,7,2784,2,12,1978,2,3
1388,6,2526,1,10,1916,2,3
1393,5,900,1,6,1967,3,3
1403,7,1294,2,6,2006,2,2
1404,8,1464,3,6,2007,2,2
1405,3,1214,3,6,1915,3,3
1416,7,1569,3,7,2007,2,2
1428,5,1558,1,6,1945,3,3
1430,6,1440,2,7,1981,2,2
1451,5,1792,0,8,1974,3,3
1453,5,1072,2,5,2005,3,3
